id,name
1463,culture clash
2964,future
3386,space war
3388,space colony
3679,society
3801,space travel
9685,futuristic
9840,romance
9882,space
9951,alien
10148,tribe
10158,alien planet
10987,cgi
11399,marine
13065,soldier
14643,battle
14720,love affair
165431,anti war
193554,power relations
206690,mind and soul
209714,3d
270,ocean
726,drug abuse
911,exotic island
1319,east india trading company
2038,love of one's life
2052,traitor
2580,shipwreck
2660,strong woman
3799,ship
5740,alliance
5941,calypso
6155,afterlife
6211,fighter
12988,pirate
157186,swashbuckler
179430,aftercreditsstinger
470,spy
818,based on novel
4289,secret agent
9663,sequel
14555,mi6
156095,british secret service
158431,united kingdom
849,dc comics
853,crime fighter
949,terrorist
1308,secret identity
1437,burglar
3051,hostage drama
3562,time bomb
6969,gotham city
7002,vigilante
9665,cover-up
9715,superhero
9990,villainess
10044,tragic hero
13015,terrorism
14796,destruction
18933,catwoman
156082,cat burglar
156395,imax
173272,flood
179093,criminal underworld
230775,batman
839,mars
1456,medallion
7376,princess
10028,steampunk
10539,martian
10685,escape
161511,edgar rice burroughs
163252,alien race
179102,superhuman strength
190320,mars civilization
195446,sword and planet
207928,19th century
851,dual identity
1453,amnesia
1965,sandstorm
3446,forgiveness
3986,spider
4391,wretch
4959,death of a friend
5776,egomania
5789,sand
5857,narcism
6062,hostility
8828,marvel comic
9748,revenge
1562,hostage
2343,magic
2673,horse
3205,fairy tale
4344,musical
10336,animation
33787,tower
155658,blonde woman
162219,selfishness
163545,healing power
179411,based on fairy tale
179431,duringcreditsstinger
215258,healing gift
234183,animal sidekick
9717,based on comic book
10629,vision
155030,superhero team
180547,marvel cinematic universe
616,witch
3872,broom
3884,school of witchcraft
6333,wizardry
10164,apparition
10791,teenage crush
12564,werewolf
163455,super powers
195242,clark kent
195243,bruce wayne
229266,dc extended universe
627,killing
1568,undercover
663,fortune teller
910,bondage
1299,monster
1316,captain
1317,card game
1461,compass
5600,daughter
1556,texas
5385,survivor
5901,texas ranger
9104,partner
9503,outlaw
10909,lawyer
13008,train
178867,lone ranger
179419,comanche
222787,the lone ranger
228232,tonto
83,saving the world
10761,superhuman
14909,alien invasion
161184,reboot
242,new york
5539,shield
658,sea
1860,mutiny
1938,sword
2569,prime minister
3180,sailing
3625,silver
4235,duke
5938,mermaid
4379,time travel
5455,time machine
174915,fictional government agency
185668,seeing the future
208756,changing history
417,corruption
603,elves
604,dwarves
606,orcs
609,middle-earth (tolkien)
611,hobbit
12554,dragon
167982,unlikely friendship
188270,epic battle
234213,sword and sorcery
1872,loss of father
8803,serum
156855,scientific experiment
158124,spider bite
158456,masked vigilante
163561,genetic engineering
171556,social outcast
177912,wizard
774,film business
776,screenplay
837,show business
886,film making
887,film producer
1551,indigenous
12616,dinosaur
2984,iceberg
4210,panic
4388,titanic
4953,ocean liner
6917,epic
7579,rich woman - poor man
9673,love
10617,disaster
10703,tragic love
14514,class differences
165086,star crossed lovers
182615,steerage
182621,salvage
182625,rich snob
210184,1910s
393,civil war
6091,war
1721,fight
4410,u.s. navy
11265,mind reading
12354,hong kong
13042,soccer
14760,scientist
14946,fictional war
160855,naval
160856,armada
160860,battleship
160861,naval combat
160865,jds myoko
160866,lost communication
160868,taser
160873,buoy
160875,communications expert
160876,joint chiefs of staff
160879,crash landing
160880,jet fighter pilot
160881,navy lieutenant
160884,permission to marry
160885,uss john paul jones
160887,based on board game
227328,mighty mo
227329,uss missouri
1718,dna
1720,tyrannosaurus rex
1766,velociraptor
2041,island
9937,suspense
155582,amusement park
158130,animal attack
158340,theme park
178010,jurassic park
223059,animal horror
9740,sociopath
15127,killer
15478,art gallery
156345,istanbul turkey
159932,uzi
163841,booby trap
185071,impersonating a police officer
185077,macao
5983,pizza boy
13005,doctor
14991,tentacle
34079,death
163074,super villain
5597,war on terror
6335,tennessee
8613,malibu
12555,tony stark
173776,iron man
188721,mandarin
209748,war machine
209822,iron patriot
209823,extremis
855,fictional place
2011,queen
2486,fantasy
12552,alice in wonderland
170362,fantasy world
1852,mutant
161271,beast
161893,cyclops
5984,dormitory
6186,games
12392,best friend
13160,university
163303,scary
1160,egypt
1670,sun
4630,chaos
8264,symbol
9854,artifact
10607,transformers
11117,tank
14544,robot
10891,giant robot
166594,transforming robot
291,circus
3929,hope
4662,illusion
44451,lost
172365,magic trick
1523,obsession
13040,electrocution
33977,medical experiment
41594,electricity
310,artificial intelligence
4286,computer program
4565,dystopia
6104,computer
9758,deception
12965,duel
14735,motorcycle
185351,neon light
236778,autocracy
830,car race
10267,comedy
11500,anthropomorphism
4375,transformation
15250,alien infection
15252,magical object
15254,protector
202540,origin
3616,college
4290,toy
5462,barbie
33794,day care
158162,teddy bear
187065,toy comes to life
209386,personification
209387,inanimate objects coming to life
224516,toy story
530,prophecy
582,san francisco
679,cyborg
1373,killer robot
1420,gas station
4458,post-apocalyptic
6092,army
6112,firearm
11159,wartime
12670,los angeles
3428,speed
33885,car
40870,race
205399,muscle car
12332,apocalypse
12377,zombie
160381,nuclear weapons
180635,multiple perspectives
186565,zombie apocalypse
1228,1970s
14527,storm
206736,changing the past or future
1612,spacecraft
6054,friendship
161176,space opera
179569,terrorist bombing
189099,giant
1326,infidelity
1241,persia
12653,brother against brother
12654,armageddon
12655,regent
41645,based on video game
11100,giant monster
305,moon
3088,bodyguard
10244,based on cartoon
15246,sabotage
15247,word domination
15248,commando
483,riddle
1294,whip
1454,treasure
1547,mexico city
2650,leather jacket
4276,machinegun
4939,alien phenomenons
5566,maya civilization
5967,peru
6956,treasure hunt
9830,nuclear explosion
18524,refrigerator
41586,archaeologist
176731,indiana jones
184134,archeology 
388,scotland
526,rebel
3930,bravery
4152,kingdom
4393,archer
4896,wish
10468,bear
14753,scot
15161,rebellious daughter
41538,turns into animal
53995,archery
162715,ruins
181181,peace offering
187056,woman director
189098,courage
9743,stranded
158449,hatred
9799,romantic comedy
2163,civilization
5096,natural disaster
10150,end of the world
163398,volcanic eruption
208090,mayan
230910,ark
232318,solar
232339,destruction  of mankind
306,jupiter
212760,interspecies romance
409,africa
5650,feral child
7347,tarzan
10787,jungle
1155,brother sister relationship
1430,self sacrifice
1442,winter
1990,cupboard
2042,beaver
2043,lion
6187,fairy-tale figure
166930,narnia
4769,supernatural powers
176217,world domination
208289,1980s
3151,scarecrow
4426,sadism
9537,joker
10291,organized crime
18023,criminal mastermind
33518,district attorney
965,age difference
1291,central and south america
9903,balloon
175715,floating in the air
221536,exploring
539,middle east
6163,arms dealer
208630,counter terrorism
209756,agent coulson
295,library
1507,clock
2793,film director
2849,key
5202,boy
13014,orphan
14545,automaton
18028,hiding
33490,filmmaking
41372,leg brace
156149,doberman
1296,shared universe
2095,anti hero
3269,secret mission
3289,villain
194404,supervillain
563,deja vu
1521,time warp
2062,restart
11109,military officer
204318,exoskeleton
1328,secret
1576,technology
3467,warhead
6086,government
8570,president
9826,murder
10563,attack
14601,explosion
155551,lasers
156075,evil
191574,cobra
1566,dream
6513,cartoon
7942,imaginary friend
18035,family
18253,moving
161155,kids
163227,unicorn
211269,emotions
1585,snake
1994,wolf
2857,elephant
4809,tiger
8775,panther
9714,remake
11477,talking animal
18165,animal
167625,talking to animals
4978,immortality
5774,forest
15184,woman
161302,eternal youth
169341,snow white
169343,evil queen
173003,evil stepmother
181976,imprisoned
199814,sorceress
7430,sleeping beauty
177895,dark fantasy
186846,adaptation
186847,retelling
186849,literary adaptation
3077,leader
4090,colony
9720,woods
14759,ape
15149,monkey
158025,medical research
188959,plague
521,washington d.c.
173775,captain america
209817,political thriller
189111,ogre
1436,inventor
40850,destiny
173276,dreamer
214714,futuristic car
214715,futuristic city
380,brother brother relationship
1701,hero
2276,talent
12446,another dimension
33353,boy genius
41509,hate
198423,moral dilemma
213104,teen superheroes
215235,dead brother
825,support group
3977,product placement
6733,bullying
10039,racing
10547,arcade
11124,medal
155023,self esteem
158023,curiosity
162936,precocious child
185859,first person shooter
185861,glitch
185863,carefree
185867,video gamer
185868,q*bert
185876,interrupted wedding
185880,social reject
12026,alternate history
334,flying
1318,blacksmith
1395,arena
3752,night
4613,training
5331,village
5895,viking
6253,ignorance
8044,flight
9109,nest
18543,combat
172784,well
192913,warrior
312,man vs machine
1381,sun glasses
2651,nanotechnology
2732,rocket launcher
2733,firemen
2735,veterinarian
2736,fire engine
15106,psychiatrist
9831,spaceship
12405,outer space
175428,adventurer
494,father son relationship
641,single parent
1432,nasa
1963,expedition
3417,wormhole
4337,famine
4380,black hole
4776,race against time
8056,quantum mechanics
10084,rescue
10235,family relationships
13127,farmhouse
14626,astronaut
15300,father daughter relationship
33479,single father
154846,farmer
156039,space station
160331,astrophysics
162630,zero gravity
208757,time paradox
214349,relativity
1014,loss of lover
1930,kidnapping
2116,sleep
2117,subconsciousness
10051,heist
11436,redemption
160137,female hero
1262,mountains
189092,journey
189093,ring
189094,goblin
189102,tunnel
189103,underground lake
189108,buried treasure
189114,climbing a tree
189115,invisibility
189119,ancient
191739,gnomes
542,street gang
8574,auto-tuning
159953,automobile racing
2913,diary
3588,navy
3739,funeral
4262,tea
9935,travel
11612,hospital
591,cia
1960,mine
12995,historical fiction
18139,nuclear war
181558,cuban missile crisis
208731,world war iii
208992,1960s
2020,revolution
157376,game of death
223438,based on young adult novel
502,ambush
1647,sadness
1674,stage
2019,liberation of prisoners
3071,prince
4144,donkey
4326,theatre play
4541,conciliation
4988,tricks
5515,heir to the throne
6093,assault
6271,boarding school
6285,coup d'etat
10508,teacher
13001,cowardliness
13149,pregnancy
156702,capture
282,video game
3713,chase
10821,sorcerer
189113,fictional language
211674,muscles
228295,orc
161151,fiction
2535,destroy
10542,based on toy
188178,teenage hero
2630,cutting the cord
3650,child hero
3737,dying and death
3873,sorcerer's apprentice
4252,black magic
5147,sorcery
221387,occultism
4238,chosen one
12380,tournament
13130,teenager
567,alcohol
3691,forbidden love
4663,lovers
5608,affection
5920,advertising expert
7464,alcoholism
8872,invulnerability
11794,pokies
4190,lost civilisation
5144,matter of life and death
6511,alone
6997,helplessness
188957,virus
188973,pandemic
212,london england
715,chocolate
730,factory worker
970,parents kids relationship
985,candy
987,overweight child
1158,grandfather grandson relationship
90,paris
996,expensive restaurant
1261,river
1650,cook
2161,mouse
2246,confidence
2405,roof
2872,window
2982,leaving one's family
3640,work
3910,restaurant critic
3914,kitchen
6074,spice
6148,court
6808,cookbook
18293,chef
189359,rat
486,himalaya
779,martial arts
9823,rivalry
10278,ninja
10842,good vs evil
14536,crime
173719,haunted by the past
179095,evil doctor
187710,escapade
206694,master villain
206700,fighting crime
206709,unfulfillment
206715,love and romance
206716,unfulfilled love
2598,museum
5648,theodore roosevelt
194476,amelia earhart
209642,smithsonian
2792,boxer
490,philosophy
780,kung fu
1001,underground world
1530,temple
1552,subway
2725,sunlight
2812,computer virus
3219,precognition
3222,super computer
3223,machine town
3225,ying yang
4563,virtual reality
6150,faith
6193,world religion
6256,truth
10364,mission
12190,cyberpunk
220232,yin yang
221385,gnosticism
10085,betrayal
10115,snowman
10385,reindeer
10541,curse
10794,snow
11173,troll
155801,mountain climber
3217,plato
3221,rave
171783,hostile takeover
179101,norse mythology
209818,asgard
5657,australia
10349,survival
10562,on the run
155499,convoy
190954,peak oil
212516,dark future
588,rome
716,vatican
1715,symbolism
5950,christian
5960,illuminati
9675,prequel
9676,anti matter
10410,conspiracy
14780,investigator
161207,catholicism
234169,cern
1508,new mexico
5149,banishment
9366,hammer
232926,odin
232932,heimdall
2883,imprisonment
3133,vampire
11860,fish out of water
15375,chains
33505,gothic
41410,madness
155733,old house
160269,lost love
160274,angry mob
160279,18th century
162846,ghost
190941,hidden room
193263,old mansion
1201,austria
160852,vienna opera
233055,vienna
7379,fleet
8531,panda
220,berlin
833,white house
1653,explosive
1880,mobile phone
1969,map
2546,mask
2676,honeymoon
2682,shanghai
3181,pretended murder
3344,letter
3877,covered investigation
4277,to shoot dead
4697,video
4698,stamp
4699,hard drive
4700,e-mail
4701,decipherment
4702,suitcase
18118,disguise
33648,celebration
46958,good and bad
191881,research laboratory
222423,blast
840,usa president
41249,secret service
192099,the white house
596,adultery
2035,mythology
3258,beauty
3265,trojan war
4372,wall
4373,fraud
9725,sword fight
10141,battlefield
14704,ancient world
158553,pyre
162861,ancient greece
189601,trojan horse
235615,trojan
235616,bronze age
235617,sparta greece
235618,helen of troy
235619,homer's iliad
5248,female friendship
15040,ghost hunting
843,cataclysm
1423,asteroid
1826,space marine
13027,wedding
164889,eiffel tower paris
199076,disaster movie
211487,space centre
2173,illegal immigration
2428,deportation
2547,new identity
3243,flying saucer
3760,light
17992,broken arm
156767,nuclear threat
1991,santa claus
3030,nightmare
9923,easter bunny
33597,tooth fairy
41581,jack frost
41584,sandman
233,japan
1327,war crimes
1335,sense of guilt
1400,swordplay
1402,general
1462,samurai
1543,war veteran
1908,katana
2001,arms deal
2156,homeland
2280,emperor
2568,language barrier
2796,self-discovery
2802,mountain village
2905,foreign legion
3070,mercenary
3072,campaign
3073,commercial agreement
3074,insurgence
3078,war strategy
3080,gettysburg
4549,loss of husband
10089,slaughter
33457,alcoholic
33564,u.s. soldier
170007,japanese army
220492,war trauma
488,moses
3036,bible
157894,ancient egypt
211105,ramses
3822,teleportation
4040,space mission
4300,parachute
5100,supernova
9684,warp speed
9686,warp engine
12388,romulans
155212,vulcan
156282,alternate reality
4543,thanksgiving
5812,bad boss
169887,reference to superman
1157,wife husband relationship
2858,sacrifice
157499,mother son relationship
175421,death of husband
1583,mass murder
4948,retirement
34161,doomsday
157938,soviet
173995,doomsday clock
174008,red square
174016,death of superhero
174019,american president
321,terror
782,assassin
2534,missile
18420,surveillance
279,usa
1956,world war ii
2652,nazis
11064,nazi germany
15060,period drama
41523,brooklyn new york city
160184,super strength
185616,imprinting
185628,cross breed
185629,bloodsucker
185632,grudge
185633,vampire vs vampire
185644,chief of police
185645,dhampir
185648,forks washington
185653,wolf pack
185655,misinformation
231407,fang vamp
1809,rio de janeiro
10718,fugitive
10834,super soldier
160977,virginia
162365,military
179100,hulk
200918,angry
202816,bruce banner
570,rape
2522,grizzly bear
3593,wilderness
9454,frontier
10322,native american
14819,violence
157164,animal death
158175,bear attack
159138,death of son
185722,based on true events
194976,fur trapper
798,sheriff
1197,nevada
2551,pet
12764,rango
14569,chameleon
14570,las vegas
14571,cactus
14585,terrarium
14586,construction site
14587,armadillo
14588,disillusionment
744,madrid
1295,europe
3246,prosecution
3851,dangerous
3864,false identity
4087,revelation
6110,weapon
6710,interpol
