genres,id,keywords,overview,popularity,release_date,runtime,status,title,vote_average,vote_count,actors,director,metadata_soup,weight_rating
"[28, 12, 14, 878]",19995,"[1463, 2964, 3386, 3388, 3679]","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,2009-12-10,162.0,Released,Avatar,7.2,11800,"['65731', '8691', '10205', '32747', '17647']",James Cameron,key1463 key2964 key3386 key3388 key3679 gen28 gen12 gen14 gen878 act65731 act8691 act10205 act32747 act17647  jamescameron,7.05
"[12, 14, 28]",285,"[270, 726, 911, 1319, 2038]","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,2007-05-19,169.0,Released,Pirates of the Caribbean: At World's End,6.9,4500,"['85', '114', '116', '1640', '1619']",Gore Verbinski,key270 key726 key911 key1319 key2038 gen12 gen14 gen28 act85 act114 act116 act1640 act1619  goreverbinski,6.67
"[28, 12, 80]",206647,"[470, 818, 4289, 9663, 14555]","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,2015-10-26,148.0,Released,Spectre,6.3,4466,"['8784', '27319', '121529', '5469', '28782']",Sam Mendes,key470 key818 key4289 key9663 key14555 gen28 gen12 gen80 act8784 act27319 act121529 act5469 act28782  sammendes,6.24
"[28, 80, 18, 53]",49026,"[849, 853, 949, 1308, 1437]","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,2012-07-16,165.0,Released,The Dark Knight Rises,7.6,9106,"['3894', '3895', '64', '1813', '2524']",Christopher Nolan,key849 key853 key949 key1308 key1437 gen28 gen80 gen18 gen53 act3894 act3895 act64 act1813 act2524  christophernolan,7.35
"[28, 12, 878]",49529,"[818, 839, 1456, 3801, 7376]","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,2012-03-07,132.0,Released,John Carter,6.1,2124,"['60900', '21044', '2206', '5293', '19159']",Andrew Stanton,key818 key839 key1456 key3801 key7376 gen28 gen12 gen878 act60900 act21044 act2206 act5293 act19159  andrewstanton,6.1
"[14, 28, 12]",559,"[851, 1453, 1965, 2038, 3446]","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,2007-05-01,139.0,Released,Spider-Man 3,5.9,3576,"['2219', '205', '17051', '19159', '17052']",Sam Raimi,key851 key1453 key1965 key2038 key3446 gen14 gen28 gen12 act2219 act205 act17051 act19159 act17052  samraimi,5.97
"[16, 10751]",38757,"[1562, 2343, 2673, 3205, 4344]","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,2010-11-24,100.0,Released,Tangled,7.4,3330,"['69899', '16855', '2517', '2372', '22132']",Byron Howard,key1562 key2343 key2673 key3205 key4344 gen16 gen10751 act69899 act16855 act2517 act2372 act22132  byronhoward,6.93
"[28, 12, 878]",99861,"[8828, 9663, 9715, 9717, 10629]","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,2015-04-22,141.0,Released,Avengers: Age of Ultron,7.3,6767,"['3223', '74568', '103', '16828', '1245']",Joss Whedon,key8828 key9663 key9715 key9717 key10629 gen28 gen12 gen878 act3223 act74568 act103 act16828 act1245  josswhedon,7.04
"[12, 14, 10751]",767,"[616, 2343, 3872, 3884, 6333]","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,2009-07-07,153.0,Released,Harry Potter and the Half-Blood Prince,7.4,5293,"['10980', '10989', '10990', '10993', '5658']",David Yates,key616 key2343 key3872 key3884 key6333 gen12 gen14 gen10751 act10980 act10989 act10990 act10993 act5658  davidyates,7.06
"[28, 12, 14]",209112,"[849, 7002, 9715, 9717, 9748]","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,2016-03-23,151.0,Released,Batman v Superman: Dawn of Justice,5.7,7004,"['880', '73968', '90633', '9273', '44735']",Zack Snyder,key849 key7002 key9715 key9717 key9748 gen28 gen12 gen14 act880 act73968 act90633 act9273 act44735  zacksnyder,5.78
